,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
1797,Brian Ebersole,182.88,77,73,Southpaw,2.32,49.0,2.14,56.0,1.7,61.0,0.1,Middleweight,23.0
1798,Pete Sell,180.34,77,75,Orthodox,2.6,42.0,3.65,51.0,0.91,47.0,0.9,Middleweight,21.0
1799,Brad Scott,185.42,77,76,Orthodox,3.52,41.0,4.31,57.0,0.32,63.0,0.7,Middleweight,15.0
1800,Calen Born,172.72,77,72,Switch,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1801,John Kelly,175.26,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1802,Aaron Simpson,182.88,77,73,Southpaw,3.6,52.0,2.53,56.0,3.78,83.0,0.5,Middleweight,34.0
1803,Marlon Sims,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1804,Steve Kennedy,180.34,77,73,Orthodox,2.28,35.0,5.52,45.0,2.51,60.38,0.0,Middleweight,33.0
1805,Jake Shields,182.88,77,72,Southpaw,2.45,36.0,1.8,56.0,2.83,35.0,1.2,Middleweight,29.0
1806,Keith Wisniewski,182.88,77,73,Orthodox,2.32,52.0,4.86,42.0,1.57,78.0,0.3,Middleweight,40.0
1807,Dhiego Lima,187.96,77,75,Orthodox,3.14,38.0,3.93,59.0,1.38,73.0,0.7,Middleweight,42.0
1808,Jess Liaudin,175.26,77,72,Orthodox,2.46,51.0,2.76,41.0,3.28,30.0,1.6,Middleweight,53.0
1809,Luiz Dutra,180.34,77,73,Orthodox,3.92,50.0,4.8,41.0,0.0,100.0,0.0,Middleweight,47.04
1810,Alan Jouban,182.88,77,73,Southpaw,5.67,50.0,3.77,60.0,0.51,58.0,0.3,Middleweight,44.0
1811,Ronald Jhun,180.34,77,73,Orthodox,1.45,57.0,3.01,50.0,1.81,100.0,0.0,Middleweight,100.0
1812,Phil Johns,157.48000000000002,77,73,Southpaw,1.2,66.0,1.8,50.0,0.0,50.0,0.0,Middleweight,47.04
1813,Brian Foster,175.26,77,71,Southpaw,3.3,39.0,1.63,65.0,3.67,37.0,1.8,Middleweight,60.0
1814,Pete Spratt,175.26,77,73,Southpaw,1.63,48.0,1.33,55.0,0.3,46.0,0.3,Middleweight,100.0
1815,Andreas Stahl,180.34,77,73,Orthodox,2.83,37.0,4.74,57.0,1.55,80.0,0.0,Middleweight,66.0
1816,Patrick Speight,185.42,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1817,Jesse Juarez,185.42,77,73,Orthodox,1.71,48.0,2.87,52.0,2.69,50.0,0.0,Middleweight,33.0
1818,Daniel Roberts,177.8,77,74,Southpaw,0.73,20.0,2.27,46.0,2.46,40.0,2.5,Middleweight,44.0
1819,Kenny Robertson,177.8,77,74,Southpaw,3.72,47.0,3.02,52.0,1.37,57.0,0.8,Middleweight,26.0
1820,David Roberts,185.42,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1821,Taylor Roberts,180.34,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1822,Ron Stallings,187.96,77,75,Southpaw,3.22,60.0,3.26,51.0,0.0,71.0,0.0,Middleweight,47.04
1823,Codale Ford,175.26,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1824,Jon Fitch,182.88,77,74,Southpaw,2.61,50.0,1.65,54.0,3.6,56.0,0.8,Middleweight,51.0
1825,Bobby Flynn,180.03,77,73,Orthodox,0.38,25.0,0.77,52.02,0.0,60.38,0.0,Middleweight,47.04
1826,Christopher Lopez,177.8,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1827,Mikey Burnett,167.64000000000001,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1828,Kevin Burns,177.8,77,74,Orthodox,2.74,38.0,4.3,52.0,0.28,47.0,0.8,Middleweight,50.0
1829,Danny Roberts,185.42,77,74,Southpaw,3.41,44.0,3.08,55.0,0.18,53.0,0.4,Middleweight,6.0
1830,Jared Rollins,175.26,77,73,Southpaw,3.33,57.0,2.41,39.0,2.5,50.0,1.2,Middleweight,50.0
1831,Jorge Lopez,177.8,77,73,Orthodox,2.47,59.0,2.57,50.0,3.5,81.0,0.0,Middleweight,41.0
1832,Michael Lombardo,182.88,77,72,Orthodox,1.47,62.0,2.63,31.0,2.5,60.0,0.0,Middleweight,21.0
1833,Donnie Liles,175.26,77,73,Southpaw,2.25,41.0,1.75,65.0,2.5,60.38,1.2,Middleweight,28.0
1834,Erick Silva,182.88,77,74,Orthodox,2.5,48.0,4.18,49.0,0.85,56.0,1.4,Middleweight,35.0
1835,Sidney Silva,190.5,77,73,Southpaw,2.86,65.0,3.3,34.0,3.3,60.38,0.0,Middleweight,100.0
1836,Brad Blackburn,177.8,77,73,Southpaw,4.55,35.0,3.59,65.0,0.93,76.0,0.7,Middleweight,50.0
1837,Scott Bills,177.8,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1838,Mario Rivera,177.8,77,73,Orthodox,0.0,43.02,8.41,20.0,0.0,60.38,0.0,Middleweight,47.04
1839,Li Jingliang,182.88,77,71,Southpaw,4.52,42.0,3.65,59.0,1.28,59.0,0.0,Middleweight,39.0
1840,Lukasz Les,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1841,Frank Lester,180.34,77,73,Orthodox,2.18,36.0,3.82,53.0,0.0,60.38,0.0,Middleweight,47.04
1842,Louis Jauregui,170.18,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1843,Josh Rafferty,182.88,77,73,Orthodox,0.6,33.0,3.6,50.0,0.0,60.38,9.0,Middleweight,47.04
1844,CM Punk,185.42,77,73,Orthodox,1.1,23.0,4.87,40.0,0.87,60.38,0.0,Middleweight,11.0
1845,Mike Pyle,182.88,77,74,Orthodox,2.74,45.0,2.84,60.0,1.8,70.0,1.5,Middleweight,35.0
1846,Lance Benoist,180.34,77,72,Southpaw,3.68,51.0,2.7,56.0,1.5,61.0,0.0,Middleweight,33.0
1847,Rudy Bears,180.34,77,73,Southpaw,1.27,29.0,2.53,50.0,0.0,60.38,0.0,Middleweight,47.04
1848,Sean Spencer,177.8,77,74,Southpaw,4.24,32.0,4.02,60.0,0.14,68.0,0.0,Middleweight,33.0
